iter	Logloss
0	0.6170893061
1	0.5795100924
2	0.548964154
3	0.5218893107
4	0.5014060695
5	0.4882678231
6	0.4690045216
7	0.4584173307
8	0.4509882783
9	0.4435633403
10	0.4391189587
11	0.4357618413
12	0.4315577589
13	0.4276567305
14	0.4244517501
15	0.4216185413
16	0.4198093544
17	0.418008803
18	0.4155990795
19	0.4126768701
20	0.4094411013
21	0.4080231403
22	0.4065056333
23	0.4056912764
24	0.4041442174
25	0.4024484152
26	0.4014184265
27	0.4003832805
28	0.3994171659
29	0.3977875744
30	0.397204248
31	0.3965330211
32	0.395105078
33	0.3943076884
34	0.3932715104
35	0.3926113166
36	0.3922545707
37	0.391747144
38	0.3912710474
39	0.3906522725
40	0.3901939828
41	0.3898927947
42	0.3893876671
43	0.3891223524
44	0.3887518819
45	0.3882847397
46	0.3878082355
47	0.387595247
48	0.3872811145
49	0.3869560581
50	0.3866282478
51	0.3861660126
52	0.3859322265
53	0.385497877
54	0.3851858273
55	0.3847750398
56	0.3844792568
57	0.3843626438
58	0.3839547175
59	0.3836165036
60	0.3833815917
61	0.3831643015
62	0.3826537556
63	0.3824126939
64	0.3822034913
65	0.3819462659
66	0.381691078
67	0.3814430464
68	0.3812703
69	0.3810889053
70	0.380748874
71	0.3805157411
72	0.3801985323
73	0.3799294003
74	0.3796928242
75	0.3794804596
76	0.3792267096
77	0.379083744
78	0.3788861654
79	0.3786346489
80	0.3784673594
81	0.3782375699
82	0.3780141179
83	0.377824314
84	0.3777157813
85	0.3773455123
86	0.376967388
87	0.3767296667
88	0.3764607443
89	0.3761336142
90	0.3758418006
91	0.3755353749
92	0.3752747598
93	0.3750640375
94	0.3748919052
95	0.3744847864
96	0.3742986579
97	0.3739797147
98	0.373730188
99	0.3735108454
