iter	Passed	Remaining
0	56	5595
1	57	2826
2	58	1901
3	60	1442
4	61	1166
5	62	982
6	64	858
7	65	755
8	66	675
9	67	610
10	69	558
11	70	515
12	71	479
13	72	446
14	73	417
15	74	392
16	75	369
17	76	350
18	77	332
19	79	316
20	80	301
21	81	287
22	82	274
23	82	262
24	83	251
25	85	242
26	86	232
27	87	224
28	88	216
29	89	208
30	90	201
31	91	194
32	92	188
33	93	181
34	94	175
35	95	170
36	96	164
37	97	159
38	98	154
39	99	149
40	100	145
41	101	140
42	102	136
43	103	132
44	104	128
45	105	124
46	106	120
47	107	116
48	108	113
49	109	109
50	111	106
51	112	103
52	113	100
53	113	97
54	114	93
55	115	91
56	116	88
57	117	85
58	118	82
59	119	79
60	120	77
61	121	74
62	122	72
63	123	69
64	124	67
65	126	64
66	127	62
67	128	60
68	129	58
69	130	55
70	131	53
71	132	51
72	133	49
73	134	47
74	135	45
75	136	43
76	137	41
77	139	39
78	139	37
79	141	35
80	141	33
81	142	31
82	143	29
83	144	27
84	145	25
85	146	23
86	147	22
87	148	20
88	149	18
89	150	16
90	151	15
91	152	13
92	153	11
93	155	9
94	156	8
95	156	6
96	157	4
97	158	3
98	159	1
99	161	0
